中原重笔青史改革潮头定九霄龙腾,华夏迭出俊才开放阵前当万里鹏飞
风光胜旧,岁序更新
认认真真办事,清清白白做人
同心同德宏图再展,群策群力快马加鞭
九州瑞雪九州润,万岭腊梅万岭香
春盈四海,花漫九州
不舍风驰追马迹,行看岁稔话羊年
日照江山千载秀,春催祖国万年昌
含烟柳絮梳莺髻,带露茶花捻蝶鬚
春丽花如锦,猪肥粮似山
看旖旎春光重新日月,喜风流人物大展宏图
猪崽一窝乐,山花四季香
展宏图乘万里长风龙腾凤翥,逢盛世亮千秋美嗓燕语莺歌
祖国河山似锦,神州大地皆春
春浓山腹,梅放岭头
竹翠松苍人益寿,花红柳绿月长圆
珍惜黄金时代,莫负锦绣年华
留芳永葆清廉志,聚德长存富国心
春荣大地花荣锦,日暖神州政暖心
犬画红梅臻五福,鸡题翠竹报三多
党树新风万民愉悦,国兴特色百业昌隆
爆竹声声除旧,桃符代代更新
辞旧岁革除坏习惯,迎新春描绘新蓝图
文风香古国,德范誉千秋
三冬雪后三阳暖,四化程中四季春
东风浩荡祖国处处展新貌,旭日东升神州在在尽朝晖
万户鸡声催晓读,千树鸟语唤春耕
律法严明九州欣大治,春风和煦万众话小康
德政长存四海长歌德岁,丰碑共仰九州共庆丰年
法制成风国泰,道德化雨民安
青山不老国增艳,碧水长流年更丰
芳草年年绿,春联处处新
松牖春回吉霭正临铜晷永,芝庭日丽祥光长拥玉枢高
加瓦添砖构建和谐兴社稷,点红播绿铺成锦绣壮河山
德政归心干劲足,春风得意富门开
业兴来者,龙有传人
藏书楼上百花放,借阅窗台四时春
门户长春人有寿,江山盛世福无边
狗问平安随腊去,猪生财富报春来
德风广被人心暖,法治弘扬社会安
飞雪迎春到,高歌动地吟
人效黄牛心自贵,岁朝寅虎劲更高
讲德守法文明户,敬长爱幼幸福家
春染乾坤绿,旗开日月红
昆山美玉应去璞,丽水良金得淘沙
笑舞东风松梅竞秀,喜沾春雨桃李争妍
辞旧岁窗花逗紫燕,接新春喜鹊闹红梅
午岁争迎千里马,新春更上一层楼
玉犬辞旧岁,金猪拱福门
春雨春阳滋草木,和风和气暖门庭
雨点桃红千只蝶,风催柳绿万条春
天公抖擞人才降,地母婆娑紫气来
党倡清廉安社稷,春铺锦绣美山河
处处明山秀水,家家笑语欢歌
绿草园中园草绿,红梅岭上岭梅红
光风千日暖,丽景百花妍
万方更始歌尧日,四序重新贺大年
九天日月吐光辉,十亿神州溢春华
水如碧玉山如黛,人奋雄心马奋蹄
芙蓉国里祥云集,华夏人间瑞气凝
和谐社会温情扑面春风暖,道德文章润物滋心化雨浓
红梅铮骨傲雪,桃李笑颜迎春
政善民勤千家福,河清海晏万代春
河山锦绣清平世,事业辉煌富庶家
华光照四海四海皆春春不老,佳节临九州九州同乐乐无穷
赤心报国英雄志,绿柳迎春世纪风
新纪新年新面貌,好规好划好收成
柳暗花明春光美,龙腾虎跃英杰多
春风得意马驰千里,旭日扬辉光照万家
春风细雨秀天地,安定团结得人心
龙翔华夏迎新岁,气搏云天奋犬年
山青水秀春光好,日丽风和景色新
好园林百花齐放,新中国万木争荣
丰年顺意家家富,美景宜人处处春
韵耐春风,清宜夜雨
福纬耀微垣瑶枝绚采,春祺凝化宇玉树承曦
苍天大地丰盈世,碧水青山锦绣春
山河似锦,岁月更新
大好年成兴骏业,崭新世纪奋鹏程
一年好景随春至,四化宏图与日新
春到堂前增瑞气,日临庭上起祥光
圣代即今多雨露,丹霄谁肯借航梯
九天淑景凝新旭,三殿晴光接彩霞
东风劲吹山河添喜色,彩灯高挂城乡庆丰收
前辈创业垂千古,长征接力有来人
人间冬去花争艳,大地春回鸟赛歌
书田菽粟多真味,墨地芝兰有异香
堂前紫燕鸣春暖,院外红梅斗雪开
瑞雪翩翩丰收景,红梅朵朵富裕花
昂首宝鸡一嗓秦腔红日起,飘香金穗八方美誉惠风传
红杏丛中朝见牛羊出圈,绿柳郊外夕闻鸟雀归林
一元复始,万象更新
电话拜年千句好,短信送情万年长
当年禹甸多铜马,如今春郊遍铁牛
企业自主干群意气奋发,质量优先生产捷报频传
柳丝垂岸,燕尾点波
顺天顺地顺心顺意,和气和风和睦和谐
碧水蓝天新市容迎新世纪,尊师重教高素质出高水平
春风化雨千山翠,特色兴邦万众钦
物阜国强民富,天时地利人和
律启初春观花赏岁,功期四化载酒攀天
金瓯永固,玉宇长清
日丽神州彩凤舞,霞飞华夏巨龙腾
春风送暖,大地回春
新城市新形象岁岁新喜,大临沂大物流年年大吉
生意兴隆,财源茂盛
春深碧海腾龙甲,花满瑶池起凤毛
顺畅全家乐,和谐举世欢
江山千古秀,大地万年青
岁月知春花解语,人心思治鸟调音
河清海晏金瓯固,人寿年丰玉烛稠
旧俗已随旧岁去,新生应逐新年来
门对平湖春月朗,身居陋室福星明
歌似大潮流日夜,胸如碧海映山川
山河添秀色,大地浴春晖
医有秘方可使万民益寿,药无凡草能救百病回春
数点梅花添喜庆,几声爆竹道安祥
鱼吹柳絮,蜂抱花须
岁序更新春浩荡,宏图再展势峥嵘
争当致富领头雁,乐做扶贫孺子牛
大地春风劲,长征战鼓催
神州美景千年盛,华夏春光百载新
世盛千家福,花香万里春
万管玉箫歌盛世,千支妙笔赞新风
赤帜舞东风江山如画,赤骝奔大路祖国长春
和谐唱响太平日,勤俭换来大有年
爆竹传吉语,腊梅报新春
千家皆春色,五谷呈丰年
时兴事泰春光艳,人寿年丰淑景新
万缕彩霞迎旭日,千匹骏马带朝烟
凤翥龙翔吟盛世,莺歌燕舞咏阳春
开放财源广,公平信誉高
龙人十亿迎新纪,华夏千秋唱大风
勤劳门第春风暖,俭朴人家美景长
开怀迎世纪,举臂揽春风
春风吹柳千枝绿,时雨浇苗万亩新
百业齐兴酬壮志,千帆竞发显雄心
香牵两岸意,港纳五洲情
雪消门外千山绿,春到人间万户欢
梅花点点彰民富,爆竹声声谢党恩
沈阳鏖战终出线,世界足坛奋夺标
九州瑞雪飞颂扬斗地征天汉,四海欢潮涌呼唤搏风击浪人
富随科技户,春爱勤劳家
丽日蓝天万树繁花争早放,阳关大道千骑骏马着先鞭
海甸荟珍函沿波从朔,春阳迎绮陌倬汉成文
城乡比翼,工农齐飞
旭日鉴忠诚维权果硕三一五,春风播善美普法花馨百万千
山河洗尽崎岖路,日月重开彩瑞天
科学种田仓廪实,春风化雨岁时丰
攀高峰不怕千般苦,闯新路何辞万里遥
山碧千峰竞秀,水清百鸟争春
山川灵妙能生慧,花木传神乐奉人
迎新春处处呈文明气象,入虎岁人人当改革先锋
万首新诗吟大治,千杯美酒祝丰年
瑞气盈盈添锦绣,生机勃勃见精神
文明社会春常在,和睦家庭乐永存
勤俭千载富,和睦一家春
老骥犹存千里志,夕阳辉照满天霞
金蛇狂舞春添彩,紫燕翻飞柳泛青
同迎盛纪,共贺新春
四时春作首,六畜马当先
灵羊下界盈门喜,乳燕衔泥满院春
拾金不昧人人赞,见义勇为处处钦
人和地利天时正,物阜民康国运昌
振兴科技四化快,尊重人才万事成
党纯政洁家家乐,国富民强业业兴
金穗飘香香四季,玉羊报喜喜千家
新纪新风新面貌,好年好景好文章
祖国期大统,人民盼团圆
江山一统九州乐,港澳双归四海钦
行行业业家家乐,水水山山处处新
年年腾跃一江春水重重浪,岁岁攀登百尺竿头节节高
舞醉歌酣吟塞北,桃夭李艳话江南
亥时春入户,猪岁喜盈门
马蹄得意奔新路,鹊语遂心报好音
红旗映喜报,绿水绘春光
势如破竹人欢马叫,安若泰山虎踞龙盘
清音歌盛世,妙笔著华章
花开春富贵,竹报岁平安
百族连心歌德政,九州共话沐春风
三讲频催千里马,两思更上一层楼
勤俭人家添喜讯,清廉门第溢书香
绿水青山风景这边独好,红妆素裹江山如此多娇
四化宏图千载业,十分春色万民家
雪霁新元开泰运,春归大海醒蜇龙
说真心话,做老实人
神州敷特色,盛世蔚清风
旭日照赤帜,高歌迎新春
敢争日月开新纪,定教山川换旧颜
祖国风光莺歌燕舞,侨乡面貌月异日新
华夏新天逢大治,神州丽日耀小康
幸福新街如阆苑,文明净土胜天堂
万马奔腾为江山添锦绣,宏图再展与日月竞光辉
高歌盛世年年好,笑看神州处处春
家传美德,国展宏图
金刚降魔护三宝,弥陀慈光照大千
惜别垂杨难系马,喜瞻叱石尽成羊
立业当承先辈志,成家勿忘老人恩
经济建设结硕果,精神文明开红花
天增岁月人增寿,春满田畴谷满仓
三春花齐发,四化国振兴
燕剪千重霭,花开万里春
虎跃龙腾生紫气,风调雨顺兆丰年
瑞雪映兆丰稔岁,神驹腾跃吉祥年
神州新气象,华国大文章
团结奋进迎接朝阳新世纪,创业利民广播时代最强音
开心岁月开心事,如意时光如意春
春满神州树上摇钱如蝶舞,花开艺苑盆中聚宝似莺飞
百业兴衰凭国计,万家忧乐系心田
百族雄心昭日月,九州特色壮乾坤
嫩柳千姿秀,腊梅万朵妍
送旧吟联铭粹雅,迎新赋对志华文
三羊开景泰,双燕舞春风
小康在望,大业敢攀
国施善政家家富,党树新风处处春
欢庆丰年喜炮喧天天赐福,喜迎春节欢歌动地地生财
和睦家庭结彩张灯辞旧岁,勤劳民族欢天喜地闹新春
东风引紫气一元复始,大地发春华万物更新
时雨点红桃千树,春风吹绿柳万条
牛背飘春曲,鹊舌报福音
兴邦有策家家富,治国无私处处春
情牵两岸同赏月,心系三通共迎春
欢歌盛世乘时正起金猪运,感受春天吹面不寒沂水风
马步牵长风长随远景江山好,牵羊迎盛世依然十里杏花红
牛耕沃野扬长去,虎啸群山大步来
四化宏图开盛业,千秋幸福奠鸿基
猪携福气春风乐,犬带廉风节气高
申年梅献瑞,猴岁雪兆丰
妻生贵子全家乐,父享高年满堂红
处处春光春处处,洋洋喜气喜洋洋
储金备患,积谷防荒
故宅岁更新卅年京华怜我老,今年春胜昔一堂和气抱孙来
龙飞蛇舞升平岁,燕语莺歌盛世春
小康生活家家福,大好河山处处春
一腔热血开新宇,满面春风步小康
雪片纷纷凝瑞,马蹄得得报春
龙腾祥云门接福,蛇吐瑞气户迎春
祖国山河壮,侨乡气象新
新春歌大治,华夏乐中兴
乐园自有迎春曲,名校犹多敬业人
步新潮须骑骏马驰千里,兴伟业应唤春风惠万家
长弘善美乐构和谐大业辉煌开盛世,共步康庄欣奔富裕宏图锦绣灿华年
六中正气催春到,全党新风扑面来
举国小康千里锦,齐天大盛万年春
五羊结彩迎新纪,六畜兴旺报好年
大江南北春风意,海峡东西明月心
春到人间四海五洲鞭炮响,喜临华夏千门万户对联红
风调雨顺天如意,政通人和法清明
家家辞岁人人乐,户户迎春事事成
红梅含笑丰年好,喜鹊欢歌盛世新
时代已跨双世纪,人才当选真栋梁
喜鹊登枝传喜讯,新人立志树新风
大鹏俯视万春寨,天马驰骋五里街
一年春作首,六畜猪为先
万象更新万民悦,百花齐放百鸟鸣
英雄时代辉煌业,和煦春光福寿家
国逢安定百年好,时际芳春万象新
新春浩荡百花放,房厦栉联万业兴
春入门庭多秀色,瑞呈宇宙有光辉
春光永驻,特色频臻
洪水无情生祸害,龙人有志建家园
纬地经天交织人间锦绣,马龙车水频添大块文章
云间瑞气三千丈,堂上春风十二时
春开壮景六合聚,岁启宏猷万象新
伏枥犹存千里志,添翼更上九重天
时际三阳多淑气,家敦一乐有和风
五谷丰登华夏史,九州细读小平文
招财进宝勤劳是根本,发家致富科技做靠山
入世天更阔,申奥水皆欢
国运亨通化雨春风苏大地,人心快慰丰衣足食庆华丰
年年如意,处处春风
优生优育成龙凤,勤俭勤劳有富康
夺秒争分筹大计,同心协力展宏猷
九霄悬丽日,八骏跃雄程
清心寡欲人长寿,智水仁山爱永恒
平民草舍昔时苦,农户砖居今日甜
人随春意泰,事共壮怀成
大地播春光山青水绿,神州增秀色万紫千红
日丽中天珠还合浦,龙腾盛世喜满神州
家庭和睦歌声溢,琴瑟同谐乐事多
香水飘香腾爽气,港人治港放光辉
金马凯旋歌动地,银羊奋进福连天
惠民政策千秋颂,爱国精神万代扬
春风化雨,壮志凌云
辞旧岁红梅添秀色,迎新春瑞雪兆丰年
春华秋实,人寿年丰
风调雨顺国兴盛,人寿年丰民幸福
秋日扬辉花千里,春风得意桂一枝
金蛇喜庆庆贺九州方圆百业举,骏马奔驰驰骋万里江山一片春
雪映梅花梅映雪,莺萦柳浪柳萦莺
盛世山河如画美,升平岁月比诗浓
骏马功成领功去,吉羊捷足报捷来
年年景丽年年胜,月月花香月月红
年年进宝年年添福年年乐,岁岁来财岁岁增寿岁岁安
跃马扬鞭夺战锦,欢天喜地庆成功
紫燕舞翠柳,黄莺歌红梅
金蛇狂舞九州景,骏马欢腾四海春
鸿雁翔云迎旭日,青骝夺路起桃烟
五旬新国春来早,四化宏图富占先
春风传捷报,梅韵贺新年
百花生香吐艳,四化跃马扬鞭
德门增百福,农户驻三阳
巨手回天喜四化业绩彪炳史册,群贤向党看万里江山再展宏图
祖国千载歌舜日,人民万代颂尧天
我佛如来见一切众生皆大欢喜,弥陀慈父建极乐世界何等庄严
东风扑面经新雨,江水回头恋子年
五业并举八方奋进到底人民政府好,四处祝捷万马奔腾还是社会主义强
除腊一杯辞旧岁,迎春千盏接新年
丰收美景千山翠,致富红花万里香
同心同德创大业,再接再厉攀高峰
鸣春喜鹊登高树,致富人家乐小康
和风喜奏小康曲,时雨素描大治图
昌期幸际春无日,泰运欣逢安定年
猴喜满园桃李艳,龙腾九域地天长
春风拂去千枝雪,丽日捧出万木春
政通人和歌盛世,民殷国富庆新春
一元复始瞩目欣看春来早,万象更新举首敢笑燕归迟
天翻地覆旌旗猎,国泰民安世纪新
瑞雪飘飘福满地,爆竹阵阵喜盈门
香港回归欣正史,神州崛起喜升旗
迎春丹青焕彩,辞岁翰墨飘香
百舸争流花似锦,千峰竞秀水如银
银箭应琅璈蓬壶昼永,铜铺开锦绣阆苑春浓
风和千树茂,雨润百花香
爆竹两三声人间改岁,梅花四五点大地皆春
金笔谱写胜利曲,竹笛横吹幸福歌
联花朵朵预卜新年红红火火,对句双双共期亥岁喜喜洋洋
天清鹏展翼,风正马腾骧
梅花千枝艳,春灯万盏红
辞旧迎新跨世纪,轻歌曼舞庆升华
勤为致富之源年年发,俭是聚财之本月月红
蛇尾如鞭催骏马,马蹄似鼓送金蛇
富贵三春景,平安两字金
冬去春来肥田沃土景观美,莺歌燕舞巷尾街头景色新
东风拂大地,政策暖人心
张张龙卡达万事,处处建行便兆民
吉星高照平安宅,鸿福常临和睦家
春风开玉宇,紫燕筑新巢
锦绣山河添锦绣,光辉事业溢光辉
竹报三多绿竹千竿同茂盛,梅开五福红梅万朵共芳菲
江山不老春光好,世纪更新国力雄
国颁善政英才众,节到新春喜气多
诚心乐作人间事,俯首甘为孺子牛
玉兔迎春春入户,金莺报喜喜临门
池塘喜夜雨,庭院醉春风
春暖花开神州添秀色,政廉民富祖国展新姿
沿四化方向奋进,乘改革春风腾飞
年成丰润春花俏,世纪更新福气浓
和睦聚财致富,忠厚多福永安
九野春光好,八方气象新
岩经风雨峥嵘立,雪压松梅挺拔奇
大富千家乐,小康万户欢
辞旧岁总结辉煌成果,迎新春展望灿烂前程
癸戴草头朝赤日,酉添春水上朱颜
时雨宜人人更健,春风得意意常坚
大地春光红艳艳,神州大地乐陶陶
喜四化征途莺歌燕舞,看九州大地马叫人欢
开门见喜个个心花怒放,擂鼓迎春人人笑逐颜开
灵蛇开泰好事连连圆夙梦,骏马续祥良机比比展宏猷
门迎四季平安福,户纳八方富贵财
千联齐颂丰收景,四海同歌盛世情
月满一轮辉宇宙,梅香千里到门庭
春风拂面千村暖,好雨知时五谷丰
瑞雪纷飞九州已兆丰收景,金鸡欢唱四海正逢盛世春
政策拓开平坦路,春风吹暖小康家
骏马腾飞兴大业,灵羊健步奔小康
人趁竞争兴大业,国迎挑战展宏图
三星在户财源旺,五福临门家道兴
国治春光暖,家和鹊声高
欣描当代人间景,乐建超前世纪图
凯歌阵阵千里马早过玉门关,春风习习带头羊又登泰山顶
春来兮大陆弟兄奔四化,时至矣台湾骨肉速三通
金马奔驰改革路,银羊欢跃太平年
春风暖发金钱树,甘雨浇开富贵花
政策暖心奔四化,喜气盈门庆新春
金蛇狂舞辞旧岁,万马奔腾迎新春
千家爆竹辞旧岁,万户红灯庆新春
丕振家声百尺竿头争进步,远谋国是九州天下又回春
国泰民安天地暖,风调雨顺稻菽香
邮局鸿雁一声喜讯三春暖,绿色红娘千里姻缘一线牵
勤劳人创千秋业,幸福花开万里香
康强社会多明礼,勤俭家庭惯守诚
苗种千畴肥作宝,人生一世德为根
山青水秀阳春有柳,人寿年丰幸福无边
新春添新景,佳节报佳音
举国江山俱似画,满天春色最宜人
手手互联歌手球手手牵手,心心相印党心民心心连心
溢彩流光岁月,知书达理人家
春风浩荡花香鸟语,岁月峥嵘虎跃龙腾
健笔描春山水五光十色,新猷治国城乡万紫千红
金鸡报晓时转三阳迎淑气,红梅竞放花开五福庆丰年
一刻莫闲岁月,十分珍重年华
染庭碧草来春色,入户清风送好音
勤劳浇活摇钱树,智慧催开科学门
弘扬社会新风范,开发人才大智能
赤帜拂天日新月异,青松拔地人寿年丰
如此春光迎世纪,这般伟业壮中华
杨柳有情千枝秀,春风无倦百花妍
九州百族辞马岁,两岸三通接羊年
天马行空足踏祥云背驮贺仪来华夏,春光送暖风传喜讯花献征途映帅旗
风调雨顺时光好,人寿年丰世纪新
观国庆盛典,写世纪宏篇
家居富庶神州里,人在和谐社会中
科技领先花竞艳,文明固本国争荣
天作溯前光玉券十华徵锡极,人文观大备瑶签四照见逢原
工富农富城乡富,山新水新天地新
春艳神州诗万卷,人逢新岁酒千杯
翠浪映碧空莺歌燕舞,白云绕青壑柳绿花红
四序先临首祚,万家同得长春
春来桃李共芬芳,堂开丽日金莺啭
春雨染成千里绿,东风吹得百花红
旭日寿星赠五福,东风彩笔绘三春
瑞雪霁难山寒收玉宇,条风嘘内斗春满金瓯
鸟语花香新世纪,龙腾虎跃大前程
百花齐放,九州同春
万方乐奏开新纪,百姓欢歌庆小康
欲圆强国梦,大展富民图
一元复始春复始,万象更新景更新
梅底清风新岁月,柳边和气好烟霞
国泰民安四化有望,风调雨顺五谷丰登
国凝瑞气春阳丽,民沐党恩寿域开
法严政明山清水秀人杰地灵,风正气盛国富民安外强中坚
伟业千古秀,神州万年春
迈步迎春春风扑面,抬头见喜喜气盈门
盛世迎春春风得意河山笑,前程似锦锦上添花岁月甜
杏蕊饱沾春露艳,东风浓染碧桃香
辉煌长创人财旺,锦绣又添事业兴
喜九州春色百花娇艳,绘四化蓝图万马奔腾
天空云彩钢花织,华夏春光大众沐
服务人民非图利,奉行马列不拜金
经营有道货自八方至,管理得方财从四面来
大业宏图展,新春好运来
时雨当春乃降,好花应时而开
爆竹声声传喜讯,腊梅点点吐清香
祖国开新纪,人民步小康
新潮流随春而至,旧思想与岁共除
富国富民富歌嘹亮,春山春水春意盎然
科学发展固根本,社会和谐胜宝珍（新声）
万里江山凝秀色,满国花木竞朝晖
墨香笔健书青史,句丽辞工颂尧天
凤舞龙飞喜看大好河山生机无限,云蒸霞蔚遥望骨肉同胞团聚有期
生机勃发山河美,民气昭苏大地春
无须添足蛇归洞,不待扬鞭马奋蹄
天开新岁月,地改旧河山
讲文明崇德尚仁扬正气,迎奥运遵规守纪树新风
滟滟江流映出满天霞蔚,声声爆竹迎来大地阳春
治不忘乱宜常备,安而思危防未然
六畜猪为宝,四时春最新
福光高照花红柳绿春不老,乐事亨通物阜家丰岁常新
庆新春合家欢乐,贺佳节恭喜发财
三春美景敷大地,四有新人展雄才
当年狂欢迎解放,今日炮响奔小康
犬岁丹心扶绿叶,猪年铁胆揽红花
勤政廉为首,爱民德乃先
泰运洽融春日永,阳和发育物华新
火树银花盛景,红梅绿柳新春
万幢高楼迎赤日,一弯碧水映蓝图
绿水春江春水绿,红旗赤县赤旗红
勤劳浇出招财树,简朴托来聚宝盆
凭俭养廉开一代风范,纳谏从政秉千秋德操
年年仓储千钟粟,月月库存万两金
春回柳叶,赋献梅花
福至民心里,春融国色中
莫醉成功酒,愿加跃进油
无限江山同庆神州春永驻,有情岁月相期彼岸燕归来
百卉迎春斗艳,群芳为国争荣
江山秀丽春增色,事业辉煌虎更威
丰年淑景农家乐,大业宏图国运长
岁月峥嵘须搏拼,年华潇洒莫蹉跎
丁年歌盛世,卯兔耀中华
红梅迎岁笑,玉兔伴娥欢
千家春不夜,万里月长明
港澳珠还昭盛世,江山璧合溢春晖
青山不墨千秋画,绿水无弦万古琴
社区共谱和谐曲,邻里同填互助词
勤劳门第春常在,俭朴人家庆有余
血汗写成创业史,雄心绘就四化图
善策百条和海内,温情一片暖人间
借问春从何至,皆言福自群生
国泰民安环宇庆,家和人寿满园春
新中国春风万里,共产党红日一轮
盛世国顺千般举,和谐社会万载春
闻鸡欢起舞,跃马喜迎春
天地英雄气,山河浩荡春
乾坤风雷荡,中华日月新
看祖国莺歌燕舞改革春风兴百业,望禹甸水笑山欢开放浪潮耀千秋
政通千家福,人和万户春
处处春光春处处,家家喜气喜家家
日出千山秀,花开万里春
风和日丽清平世,柳绿花红锦绣春
合家共饮一杯酒,百卉同迎四季花
守法经营财源广,诚实劳动富路宽
新风遍华夏,美景展神州
九州永泰,四季长春
全党全民齐振奋,各行各业大兴旺
江山锦绣千秋画,党政英明万口碑
银锄开发大西北,铁笔描绘新海南
门前春色迎人笑,路上蹄花映眼新
爆竹冲天去报喜,飞花入门来贺年
一帆风顺,四季平安
千顷甘霖千顷玉,一犁黄土一犁金
碧水流新韵,青山笼彩霞
子孙扬善家声振,龙凤呈祥事业兴
和风吹绿江南柳,春雨催开塞北花
一派生机阳春有脚,满天异彩浩气腾胸
桃红柳绿燕舞莺歌爆竹烟花迎盛世,海晏河清年丰人寿凯歌曼舞庆新春
春风送暖跨新纪,特色脱贫奔小康
民俗尊师修盛世,党风重教出英才
梅迎春意添新色,鹊代风光报佳音
东方丽日耀明时红舒九野,法治熏风苏冻土碧透三江
港澳归帆在望,台澎去雁将回
锦绣山河增绣色,英雄儿女展雄姿
同创大业,共绘鸿图
惠政人和兴百业,廉风情暖益千行
盛世春光昭日月,英雄气概壮河山
港澳双归合民意,陆台一统符国情
新岁新春新气象,好人好马好前程
人逢盛世豪情壮,节到新春喜气盈
爆竹声中辞旧岁,梅花香里报新春
赤胆忠心昭日月,高风亮节励儿孙
处处春歌春处处,家家福气福家家
春满三江四海,喜盈万户千家
一楼梅香烘出无边春色,三声鸟语闹来万里祥光
开门纳福,举步迎春
四时吉庆,八节安康
花著上林花开富贵芳千树,国施良策国肇昌隆裕万家
景历风花雪月,岁迎春夏秋冬
社会和谐年年福,家园美好日日春
春水接天长一网收来鱼满载,东风吹地暖千锄种下谷盈仓
春种千山绿玉,秋收万顷黄金
紫燕衔泥舞,黄莺绕树歌
庭前清洁即为福,家道安和便是春
盘瓠回宫留五福,天蓬值岁兆千祥
三春日月九州艳,—统江山两岸连
马跃神州留胜绩,羊欢富岁启新程
金鸡喜唱催春早,绿柳轻摇舞絮妍
马驰原野繁花茂,羊跃神州事业兴
长征踏出阳关道,四化绽开幸福花
大地复苏神州放异彩,斗柄回寅祖国展新姿
洪魔挂降旗重建家园辞虎岁,玉兔开泰运再凭科技奋鹏程
黄道天开东壁琛图辉玉宇,紫宸日丽西山爽气映瑶阶
读书真福乐,赏画悦心神
和谐昌国运,荣辱铸民魂
万众一心奔富路,五湖四海奏强音
山川添秀,大地回春
唱回归心曲奋笔劲书祖国颂,迎世纪朝阳而今再赋大风篇
可珍土地忙中乐,有味诗书苦后甜
减机构裁冗员克文牍旗开得胜,凭优势调结构扬特色马到成功
风云激荡百年史,岁月宏开新纪春
四海五湖赞国策,千歌万曲颂党恩
赤县奔腾如虎跃,神州崛起似龙飞
九天日月开昌运,万国笙歌唱太平
古调合今声八音奏响和谐韵,小村连大市七彩铺开锦绣春
竹报一元复始,花开四化初成
兴邦凭善政,治国靠文明
庆丰收全家欢乐,迎新春满院生辉
国色方兴普天开景运,春潮早涨大地发生机
寅年春锦绣,卯序业辉煌
飞轮滚滚歌一路,马达声声传万家
玉犬汪汪旺运起,金猪拱拱供福来
建设新城区打造CRD莺歌燕舞,迎接奥运会情连BTV虎跃龙腾
春暖花繁莺闹柳,港兴澳盛雁呼台
春风送福,喜气临门
和谐社会人人喜,如意春秋岁岁欢
三春花满秀成海,八月涛来水作山
东风指面,喜气盈门
一曲牧歌传牛背,无边柳色绿村头
九州瑞气迎春到,四海祥云降福来
祖国已臻长治世,人民咸庆小康时
九域同歌盛世,七音共庆丰年
一元复始民心乐,万象维新国力宏
龙张十亿帆锁定鹏程操胜券,凤翥千重锦扶摇骏业上青霄
焰火耀长空色彩斑斓欢度除夕夜,金龙腾大地人声鼎沸喜迎吉祥年
烈士丹忱昭日月,英雄浩气铸乾坤
春催柳绿迎新岁,雨沐桃红靓小康
日昭晋国文明地,风暖尧乡幸福家
春自海南工厂起,喜从江北牧场腾
布谷鸟鸣黄土地,迎春花展艳阳天
九九重辉九重锦,年年登高楼外楼
江山如画,大地皆春
国庆五旬昌国运,民期一统聚民魂
花繁果硕家家富,柳绿桃红处处春
春光无限九州暖,幸福有根万户栽
弘开盛纪,欢度新春
江山似画莺啼序,岁月如诗蝶恋花
新旧交替《声声慢》,岁月更迭《步步高》
万物逢春新燕舞,八方报喜巨龙腾
公道春风又绿神州大地,无私丽日重红宇宙长天
人长久月长圆春长在,国永昌家永睦福永生
世界风雷激,中华岁月新
国光勃发山河美,民气昭苏事业新
斗雪梅先吐,含烟柳尚青
香水思源归大海,港人数典振中华
丑岁建奇功香港回归昌国运,寅年兴大业宏图展现壮情怀
节日人同佳日好,今年花胜去年红
国施善政全球颂,党树新风举世歌
人寿年丰新岁月,花香鸟语好春光
辞戊辰金龙述职,迎已巳银蛇报春
报国无私求奉献,持家有术在勤劳
春联表心境贴上便添喜庆,大赛传友谊参与就有知音
先富后富你富我富大家富,羊多猪多钱多粮多喜事多
群芳斗艳,百业争雄
三阳开泰神州丽,四化逢春大地新
迎春节莺歌遍地,兴中华虎劲冲天
日丽风和万里江山添锦绣,财丰人健千家宅院展新容
世贸商机催彩笔,中华战鼓壮新猷
五羊献瑞江天溢彩,百凤朝阳岁月流金
花开日暖正阳春,国富民强称盛世
春雨宜人家家畅饮贺新岁,和风送暖处处欢歌奔小康
把酒当歌歌盛世,闻鸡起舞舞新春
勤劳院落盈福寿,节俭人家溢瑞祥
妙计千条凝特色,神州万里荡春风
岁岁祥和祥岁岁,年年富庶富年年
吉门沾泰早,和里得春多
芳草满园吐秀,群英遍地生辉
兆民百姓挽双手,四面八方帮一家
巳呼迎盛世,亥算得高年
春染红棉迎旭日,羊衔金穗报丰年
华夏和谐创伟业,人民富裕奔小康
莺歌燕语春盈院,虎跃龙腾福满门
紫气东来江山如画,红旗招展龙虎扬威
雪压枝头群山喜见松梅竹,冰溶水里大地争开李杏桃
政策威力大,改革舞台宽
改革庆辉煌百族高歌三代表,国家喜昌盛九州齐赞两文明
年丰物阜家家乐,水秀山青处处春
万树争荣添翠色,五羊献瑞报佳音
春临大地盛世家家喜,众奔小康神州处处欢
四化千秋业,弘开盛纪前程远
大地时时腾紫瑞,春风处处醉芳菲
日丽风和雨润,龙腾虎跃霞飞
民族精神不老,英雄本色升华
太行山下梅花点点春正好,汾河岸上柳枝翩翩景更娇
陌上春来花似锦,庭前鹊闹客如云
反腐败敢摸老虎腚,做学问能钻牛角尖
三春桃李艳,九野稻粱香
春明锦树舒红日,露浥荆花映紫霞
得意春风邀紫燕,有情时雨润红梅
爆竹声声催快马,梅花朵朵笑春风
红日升空辉大道,金鸡报晓促长征
人逢盛世居栖稳,运际阳春气象新
丰衣足食人人乐,绿野青畴处处春
上五下五辞旧岁,里二外八过新春
